Fecha,Hora,T[°C],H[%]
11/10/2016,17:58:50,14.2,42.6
11/10/2016,17:58:56,14.2,42.6
11/10/2016,17:59:3,14.2,42.0
11/10/2016,17:59:9,14.2,42.2
11/10/2016,17:59:15,14.2,42.8
11/10/2016,17:59:24,14.2,43.2
11/10/2016,17:59:33,14.2,43.4
11/10/2016,17:59:39,14.2,43.8
11/10/2016,17:59:45,14.2,43.6
11/10/2016,17:59:54,14.2,43.4
11/10/2016,18:0:3,14.4,43.6
11/10/2016,18:0:12,14.4,43.2
11/10/2016,18:0:23,14.6,43.0
11/10/2016,18:0:30,14.8,42.6
11/10/2016,18:0:36,14.8,42.6
11/10/2016,18:0:45,14.6,42.4
11/10/2016,18:0:51,14.6,42.4
11/10/2016,18:1:0,14.6,42.6
11/10/2016,18:1:6,14.4,43.0
11/10/2016,18:1:12,14.4,43.0
11/10/2016,18:1:19,14.4,43.0
11/10/2016,18:1:25,14.4,43.4
11/10/2016,18:1:31,14.2,43.4
11/10/2016,18:1:37,14.2,43.2
11/10/2016,18:1:44,14.2,43.0
11/10/2016,18:1:50,14.4,42.8
11/10/2016,18:1:56,14.2,42.6
11/10/2016,18:2:3,14.4,42.8
11/10/2016,18:2:9,14.4,43.0
11/10/2016,18:2:15,14.4,43.0
11/10/2016,18:2:22,14.2,43.2
11/10/2016,18:2:28,14.2,43.2
11/10/2016,18:2:37,14.2,42.8
11/10/2016,18:2:45,14.2,42.8
11/10/2016,18:2:57,14.2,42.8
11/10/2016,18:3:3,14.2,42.6
11/10/2016,18:3:12,14.2,42.4
11/10/2016,18:3:18,14.2,42.8
11/10/2016,18:3:25,14.2,42.8
11/10/2016,18:3:36,14.2,42.8
11/10/2016,18:3:42,14.2,43.0
11/10/2016,18:3:51,14.2,43.2
11/10/2016,18:3:57,14.2,42.8
11/10/2016,18:4:4,14.2,42.8
11/10/2016,18:4:12,14.2,42.8
11/10/2016,18:4:19,14.2,42.8
11/10/2016,18:4:28,14.2,42.8
11/10/2016,18:4:34,14.0,43.4
11/10/2016,18:4:40,14.0,43.6
11/10/2016,18:4:49,14.0,43.6
11/10/2016,18:4:55,14.0,43.6
11/10/2016,18:5:1,14.2,43.4
11/10/2016,18:5:10,14.2,43.0
11/10/2016,18:5:19,14.2,42.8
11/10/2016,18:5:25,14.4,42.6
11/10/2016,18:5:34,14.4,42.4
11/10/2016,18:5:41,14.4,42.4
11/10/2016,18:5:47,14.4,42.6
11/10/2016,18:5:53,14.6,42.4
11/10/2016,18:6:0,14.4,42.4
11/10/2016,18:6:11,14.6,42.4
11/10/2016,18:6:20,14.6,42.2
11/10/2016,18:6:26,14.8,41.8
11/10/2016,18:6:32,14.8,41.8
11/10/2016,18:6:39,15.0,41.8
11/10/2016,18:6:45,14.8,42.2
11/10/2016,18:6:51,14.8,42.4
11/10/2016,18:6:57,14.8,42.4
11/10/2016,18:7:4,14.8,42.4
11/10/2016,18:7:10,14.8,42.4
11/10/2016,18:7:16,15.0,41.8
11/10/2016,18:7:25,15.0,41.8
11/10/2016,18:7:31,14.8,41.8
11/10/2016,18:7:38,14.8,41.8
11/10/2016,18:7:44,14.8,41.8
11/10/2016,18:7:50,14.8,42.0
11/10/2016,18:7:57,14.6,42.4
11/10/2016,18:8:3,14.8,42.4
11/10/2016,18:8:9,14.8,42.4
11/10/2016,18:8:16,14.8,42.4
11/10/2016,18:8:24,14.8,42.4
11/10/2016,18:8:31,15.0,42.0
11/10/2016,18:8:37,15.0,41.8
11/10/2016,18:8:43,15.0,41.8
11/10/2016,18:8:50,15.0,42.0
11/10/2016,18:8:56,15.0,42.0
11/10/2016,18:9:2,14.8,42.0
11/10/2016,18:9:8,14.8,42.2
11/10/2016,18:9:15,14.6,42.2
11/10/2016,18:9:24,14.6,42.0
11/10/2016,18:9:32,14.4,42.2
11/10/2016,18:9:39,14.6,42.4
11/10/2016,18:9:45,14.6,42.4
11/10/2016,18:9:51,14.8,42.2
11/10/2016,18:10:0,14.8,42.2
11/10/2016,18:10:9,15.0,42.2
11/10/2016,18:10:15,15.0,42.0
11/10/2016,18:10:22,14.8,42.2
11/10/2016,18:10:28,14.8,42.4
11/10/2016,18:10:34,14.6,42.4
11/10/2016,18:10:40,14.4,42.4
11/10/2016,18:10:47,14.4,42.4
11/10/2016,18:10:53,14.4,42.6
11/10/2016,18:11:2,14.4,42.8
11/10/2016,18:11:11,14.6,42.8
11/10/2016,18:11:17,14.8,43.0
11/10/2016,18:11:23,14.8,43.4
11/10/2016,18:11:29,14.8,43.2
11/10/2016,18:11:36,14.6,43.0
11/10/2016,18:11:42,14.4,43.2
11/10/2016,18:11:48,14.4,42.8
11/10/2016,18:11:55,14.2,42.6
11/10/2016,18:12:1,14.2,42.6
11/10/2016,18:12:7,14.2,42.8
11/10/2016,18:12:13,14.2,42.8
11/10/2016,18:12:25,14.0,43.0
11/10/2016,18:12:34,14.0,42.8
11/10/2016,18:12:40,14.0,42.8
11/10/2016,18:12:46,14.2,42.6
11/10/2016,18:12:52,14.4,42.4
11/10/2016,18:12:59,14.6,42.4
11/10/2016,18:13:5,14.6,42.6
11/10/2016,18:13:11,14.6,42.6
11/10/2016,18:13:18,14.4,42.8
11/10/2016,18:13:24,14.2,43.2
11/10/2016,18:13:30,14.0,43.2
11/10/2016,18:13:39,14.0,43.2
11/10/2016,18:13:45,14.0,43.2
11/10/2016,18:13:52,14.0,43.2
11/10/2016,18:14:0,14.2,43.0
11/10/2016,18:14:7,14.2,43.0
11/10/2016,18:14:13,14.2,43.0
11/10/2016,18:14:19,14.2,43.0
11/10/2016,18:14:26,14.2,43.0
11/10/2016,18:14:32,14.0,43.0
11/10/2016,18:14:38,14.0,43.0
11/10/2016,18:14:44,14.2,43.0
11/10/2016,18:14:51,14.2,43.0
11/10/2016,18:14:57,14.4,43.0
11/10/2016,18:15:6,14.4,43.0
11/10/2016,18:15:12,14.4,42.8
11/10/2016,18:15:19,14.2,42.8
11/10/2016,18:15:30,14.2,42.8
11/10/2016,18:15:36,14.0,43.2
11/10/2016,18:15:45,14.2,43.0
11/10/2016,18:15:51,14.2,43.2
11/10/2016,18:16:0,14.4,43.0
11/10/2016,18:16:12,14.4,43.0
11/10/2016,18:16:18,14.4,42.6
11/10/2016,18:16:24,14.4,42.6
11/10/2016,18:16:31,14.4,42.6
11/10/2016,18:16:37,14.4,42.8
11/10/2016,18:16:43,14.6,42.6
11/10/2016,18:16:49,14.6,43.0
11/10/2016,18:16:56,14.6,43.0
11/10/2016,18:17:2,14.6,43.0
11/10/2016,18:17:13,14.4,43.2
11/10/2016,18:17:20,14.4,43.2
11/10/2016,18:17:26,14.6,42.6
11/10/2016,18:17:32,14.6,42.6
11/10/2016,18:17:38,14.8,42.6
11/10/2016,18:17:45,15.0,42.4
11/10/2016,18:17:51,14.8,42.6
11/10/2016,18:18:0,14.6,43.0
11/10/2016,18:18:6,14.4,43.2
11/10/2016,18:18:13,14.4,43.0
11/10/2016,18:18:19,14.2,43.0
11/10/2016,18:18:25,14.2,43.0
11/10/2016,18:18:31,14.4,42.8
11/10/2016,18:18:43,14.4,42.8
11/10/2016,18:18:49,14.2,43.0
11/10/2016,18:18:55,14.2,42.8
11/10/2016,18:19:2,14.2,43.0
11/10/2016,18:19:8,14.2,43.0
11/10/2016,18:19:14,14.4,42.8
11/10/2016,18:19:21,14.6,42.8
11/10/2016,18:19:29,14.6,43.0
11/10/2016,18:19:36,14.6,42.8
11/10/2016,18:19:42,14.4,43.0
11/10/2016,18:19:48,14.4,43.0
11/10/2016,18:19:55,14.4,42.8
11/10/2016,18:20:1,14.6,42.6
11/10/2016,18:20:10,14.6,43.0
11/10/2016,18:20:16,14.6,42.8
11/10/2016,18:20:22,14.4,43.2
11/10/2016,18:20:29,14.2,43.4
11/10/2016,18:20:40,14.0,43.6
11/10/2016,18:20:46,14.0,43.2
11/10/2016,18:20:52,14.0,43.2
11/10/2016,18:20:59,14.0,43.2
11/10/2016,18:21:5,14.0,43.4
11/10/2016,18:21:11,14.0,43.4
11/10/2016,18:21:18,14.0,43.4
11/10/2016,18:21:24,14.0,43.4
11/10/2016,18:21:30,14.0,43.2
11/10/2016,18:21:39,14.2,42.8
11/10/2016,18:21:48,14.2,42.8
11/10/2016,18:21:54,14.2,43.0
11/10/2016,18:22:0,14.2,43.2
11/10/2016,18:22:9,14.2,43.2
11/10/2016,18:22:16,14.0,43.4
11/10/2016,18:22:22,14.0,43.4
11/10/2016,18:22:31,14.0,43.4
11/10/2016,18:22:37,14.0,43.2
11/10/2016,18:22:43,14.0,43.0
11/10/2016,18:22:50,14.0,43.0
11/10/2016,18:23:1,14.0,43.0
11/10/2016,18:23:7,14.0,42.8
11/10/2016,18:23:14,14.2,42.4
11/10/2016,18:23:20,14.2,43.0
11/10/2016,18:23:26,14.2,43.0
11/10/2016,18:23:35,14.2,43.0
11/10/2016,18:23:41,14.2,43.0
11/10/2016,18:23:50,14.0,43.8
11/10/2016,18:23:59,14.2,43.2
11/10/2016,18:24:5,14.2,43.2
11/10/2016,18:24:12,14.2,43.2
11/10/2016,18:24:18,14.4,42.8
11/10/2016,18:24:24,14.4,42.4
11/10/2016,18:24:30,14.4,42.6
11/10/2016,18:24:37,14.4,42.6
11/10/2016,18:24:43,14.4,42.6
11/10/2016,18:24:49,14.2,43.0
11/10/2016,18:24:56,14.2,43.0
11/10/2016,18:25:2,14.0,43.0
11/10/2016,18:25:8,14.2,42.8
11/10/2016,18:25:14,14.2,42.8
11/10/2016,18:25:21,14.2,42.8
11/10/2016,18:25:30,14.2,43.2
11/10/2016,18:25:36,14.2,43.2
11/10/2016,18:25:42,14.0,43.8
11/10/2016,18:25:48,14.0,43.8
11/10/2016,18:25:55,14.2,43.6
11/10/2016,18:26:3,14.2,43.2
11/10/2016,18:26:10,14.2,43.2
11/10/2016,18:26:16,14.2,42.8
11/10/2016,18:26:22,14.2,42.8
11/10/2016,18:26:29,14.0,43.0
11/10/2016,18:26:37,14.2,43.2
11/10/2016,18:26:44,14.2,43.2
11/10/2016,18:26:50,14.2,43.2
11/10/2016,18:26:56,14.2,43.2
11/10/2016,18:27:3,14.2,43.4
11/10/2016,18:27:9,14.0,43.4
11/10/2016,18:27:18,14.0,43.4
11/10/2016,18:27:26,14.0,43.4
11/10/2016,18:27:33,14.0,43.2
11/10/2016,18:27:39,14.0,43.0
11/10/2016,18:27:48,14.2,42.6
11/10/2016,18:27:54,14.4,42.4
11/10/2016,18:28:0,14.4,42.6
11/10/2016,18:28:7,14.4,42.8
11/10/2016,18:28:13,14.4,42.8
11/10/2016,18:28:19,14.2,43.0
11/10/2016,18:28:26,14.2,43.4
11/10/2016,18:28:34,14.2,43.2
11/10/2016,18:28:41,14.2,43.2
11/10/2016,18:28:50,14.2,43.2
11/10/2016,18:28:56,14.2,43.4
11/10/2016,18:29:2,14.0,43.2
11/10/2016,18:29:8,14.0,43.2
11/10/2016,18:29:15,14.0,43.2
11/10/2016,18:29:21,14.0,43.2
11/10/2016,18:29:27,14.0,43.0
11/10/2016,18:29:34,14.0,43.0
11/10/2016,18:29:40,14.0,43.2
11/10/2016,18:29:49,14.0,43.2
11/10/2016,18:29:57,14.0,43.2
11/10/2016,18:30:4,14.0,43.2
11/10/2016,18:30:10,14.2,43.0
11/10/2016,18:30:16,14.4,42.8
11/10/2016,18:30:23,14.6,42.6
11/10/2016,18:30:31,14.6,42.6
11/10/2016,18:30:38,14.6,42.6
11/10/2016,18:30:44,14.4,42.8
11/10/2016,18:30:50,14.2,43.0
11/10/2016,18:30:57,14.0,43.2
11/10/2016,18:31:3,14.2,43.2
11/10/2016,18:31:9,14.4,43.2
11/10/2016,18:31:15,14.6,43.2
11/10/2016,18:31:22,14.8,43.2
11/10/2016,18:31:28,14.8,43.2
11/10/2016,18:31:34,14.8,43.0
11/10/2016,18:31:41,14.8,42.8
11/10/2016,18:31:50,14.6,42.8
11/10/2016,18:31:58,14.6,42.6
11/10/2016,18:32:5,14.6,42.6
11/10/2016,18:32:11,14.6,42.6
11/10/2016,18:32:17,14.4,42.8
11/10/2016,18:32:26,14.4,42.8
11/10/2016,18:32:35,14.2,42.8
11/10/2016,18:32:44,14.2,42.8
11/10/2016,18:32:50,14.0,43.0
11/10/2016,18:32:56,14.0,43.0
11/10/2016,18:33:3,14.2,42.6
11/10/2016,18:33:12,14.2,42.6
11/10/2016,18:33:18,14.2,42.6
11/10/2016,18:33:27,14.2,42.4
11/10/2016,18:33:33,14.2,42.4
11/10/2016,18:33:39,14.0,42.8
11/10/2016,18:33:48,14.0,42.8
11/10/2016,18:33:57,14.0,43.0
11/10/2016,18:34:3,14.0,43.2
11/10/2016,18:34:9,14.0,43.2
11/10/2016,18:34:16,14.0,43.2
11/10/2016,18:34:22,14.2,43.2
11/10/2016,18:34:28,14.2,43.2
11/10/2016,18:34:37,14.2,43.4
11/10/2016,18:34:43,14.2,43.6
11/10/2016,18:34:50,14.2,43.6
11/10/2016,18:34:56,14.0,43.8
11/10/2016,18:35:2,14.0,43.6
11/10/2016,18:35:8,14.0,43.6
11/10/2016,18:35:15,14.2,43.4
11/10/2016,18:35:26,14.4,43.2
11/10/2016,18:35:35,14.4,43.2
11/10/2016,18:35:41,14.4,43.4
11/10/2016,18:35:47,14.6,43.0
11/10/2016,18:35:54,14.4,43.0
11/10/2016,18:36:3,14.2,43.4
